Date,Brazil,Russia,India,China,South_Africa,Germany_EU,Japan,UK,Canada,DXY,Oil_WTI,Gold,US_Fed_Rate,US_CPI,US_M2,US_10Y_Yield
2019-07-31,3.789299964904785,63.49079895019531,69.07749938964844,6.883600234985352,14.178790092468262,1.1157974004745483,108.56199645996094,1.2161602973937988,1.3147599697113037,98.5199966430664,58.58000183105469,1426.0999755859375,,,,
2019-08-01,,,,,,,,,,,,,2.13,256.036,14964.1,1.63
2019-08-31,4.168099880218506,66.49150085449219,71.6801986694336,7.143599987030029,15.311699867248535,1.1061947345733643,106.43800354003906,1.218650221824646,1.3280999660491943,98.91999816894531,55.099998474121094,1519.0999755859375,,,,
2019-09-01,,,,,,,,,,,,,2.04,256.43,15062.4,1.7
2019-09-30,4.157100200653076,64.62210083007812,70.49870300292969,7.121799945831299,15.121700286865234,1.0942714214324951,107.94400024414062,1.2293167114257812,1.3235000371932983,99.37999725341797,54.06999969482422,1465.699951171875,,,,
2019-10-01,,,,,,,,,,,,,1.83,257.155,15197.3,1.71
2019-10-31,3.9862000942230225,63.75080108642578,70.98999786376953,7.0543999671936035,14.970999717712402,1.1154489517211914,108.78900146484375,1.290172815322876,1.316540002822876,97.3499984741211,54.18000030517578,1511.4000244140625,,,,
2019-11-01,,,,,,,,,,,,,1.55,257.879,15305.1,1.81
2019-11-30,4.188000202178955,64.05619812011719,71.54740142822266,7.03439998626709,14.700699806213379,1.101176142692566,109.51200103759766,1.29128897190094,1.327970027923584,98.2699966430664,55.16999816894531,1465.5999755859375,,,,
2019-12-01,,,,,,,,,,,,,1.55,258.63,15373.7,1.86
2019-12-31,4.015710830688477,61.971099853515625,71.31099700927734,6.9857001304626465,14.098589897155762,1.120229721069336,108.87300109863281,1.3113033771514893,1.3060599565505981,96.38999938964844,61.060001373291016,1519.5,,,,
2020-01-01,,,,,,,,,,,,,1.55,259.127,15443.2,1.76
2020-01-31,4.242199897766113,63.19609832763672,71.63999938964844,6.935699939727783,14.74020004272461,1.1029127836227417,108.87699890136719,1.3089004755020142,1.3211300373077393,97.38999938964844,51.560001373291016,1582.9000244140625,,,,
2020-02-01,,,,,,,,,,,,,1.58,259.25,15497.1,1.5
2020-02-29,4.484799861907959,66.26909637451172,71.93000030517578,7.003499984741211,15.470000267028809,1.0997228622436523,109.66000366210938,1.2888922691345215,1.3386199474334717,98.12999725341797,44.7599983215332,1564.0999755859375,,,,
2020-03-01,,,,,,,,,,,,,0.65,258.076,16025.9,0.87
2020-03-31,5.192699909210205,79.58920288085938,75.4000015258789,7.0991997718811035,17.920900344848633,1.1030466556549072,108.03500366210938,1.2371643781661987,1.417870044708252,99.05000305175781,20.479999542236328,1583.4000244140625,,,,
2020-04-01,,,,,,,,,,,,,0.05,256.032,17039.1,0.66
2020-04-30,5.334799766540527,73.06539916992188,75.25849914550781,7.075399875640869,18.144899368286133,1.087725043296814,106.61000061035156,1.2471472024917603,1.38742995262146,99.0199966430664,18.84000015258789,1684.199951171875,,,,
2020-05-01,,,,,,,,,,,,,0.05,255.802,17886.4,0.67
2020-05-31,5.403600215911865,70.50489807128906,75.95999908447266,7.145199775695801,17.4773006439209,1.1079105138778687,107.64299774169922,1.2321492433547974,1.3774000406265259,98.33999633789062,35.4900016784668,1736.9000244140625,,,,
2020-06-01,,,,,,,,,,,,,0.08,257.042,18173.5,0.73
2020-06-30,5.402100086212158,69.9729995727539,75.69999694824219,7.079599857330322,17.219200134277344,1.1247202157974243,107.58999633789062,1.2310571670532227,1.3656599521636963,97.38999938964844,39.27000045776367,1793.0,,,,
2020-07-01,,,,,,,,,,,,,0.09,258.352,18330.1,0.62
